Spieler,Minutenanteil,Alter_Jetzt,Alter_Zugang,Alter_Vertragsende,Position,Eigene_Jugend
Manuel Neuer,1,34.03,25.26214921,35.26,Torwart,0
Sven Ulreich,0,31.67,26.90759754,32.91,Torwart,0
Christian Früchtl,0,20.19,17.42368241,22.42,Torwart,1
Ron-Thorben Hoffmann,0,21,19.24161533,22.24,Torwart,1
Lucas Hernández,0.2982,24.14,23.37577002,28.38,Verteidigung,0
David Alaba,0.7947,27.78,18.01779603,29.02,Verteidigung,1
Niklas Süle,0.2853,24.59,21.82614648,26.82,Verteidigung,0
Jérôme Boateng,0.4907,31.59,22.85831622,32.82,Verteidigung,0
Lars Lukas Mai,0,20.01,19.24982888,22.25,Verteidigung,1
Alphonso Davies,0.7071,19.42,18.16290212,22.66,Verteidigung,0
Benjamin Pavard,0.92,24.02,23.25804244,28.26,Verteidigung,0
Álvaro Odriozola,0.028,24.31,24.10677618,24.54,Verteidigung,0
Joshua Kimmich,0.9316,25.16,20.39425051,28.39,Mittelfeld,0
Javi Martínez,0.2507,31.59,23.9890486,32.82,Mittelfeld,0
Thiago,0.7396,28.99,22.2587269,30.22,Mittelfeld,0
Leon Goretzka,0.3324,25.16,23.39767283,27.39,Mittelfeld,0
Corentin Tolisso,0.2831,25.67,22.91033539,27.91,Mittelfeld,0
Michaël Cuisance,0.0164,20.64,20.0054757,24.87,Mittelfeld,0
Philippe Coutinho,0.616,27.81,27.18412047,28.05,Mittelfeld,0
Sarpreet Singh,0.0036,21.12,20.35865845,23.36,Mittelfeld,0
Kingsley Coman,0.4422,23.81,21.04859685,27.04,Sturm,0
Ivan Perisic,0.4213,31.17,30.52429843,31.41,Sturm,0
Oliver Batista Meier,0,19.13,15.37029432,22.37,Sturm,1
Serge Gnabry,0.7196,24.73,21.96577687,27.96,Sturm,0
Leon Dajaku,0.0044,18.98,18.2587269,22.21,Sturm,0
Thomas Müller,0.6924,30.56,19.79739904,33.79,Sturm,1
Robert Lewandowski,0.9071,31.62,25.85900068,34.86,Sturm,0
Joshua Zirkzee,0.0756,18.87,18.10814511,22.11,Sturm,1
Fiete Arp,0,20.25,19.4825462,24.48,Sturm,0
