minute,second,location_x,location_y,team,foot,is_goal,big_chance,header,from_corner,from_fk,direct_fk,penalty,assisted,intentional_assist,fast_break,from_cross,on_target
3,14,62,57,ITA,right,0,0,0,0,0,1,0,0,0,0,0,1
7,41,72,56,DE,right,0,0,0,0,0,0,0,1,1,0,0,0
12,6,83,52,DE,left,0,0,0,0,0,0,0,0,0,0,0,0
16,4,81,49,ITA,right,0,0,0,0,0,0,0,1,1,0,0,0
16,38,86,77,DE,right,0,0,0,0,0,0,0,0,0,0,0,0
20,48,86,52,DE,left,0,0,0,0,0,0,0,1,1,0,1,0
23,42,92,55,ITA,head,0,0,1,0,1,0,0,1,0,0,1,0
27,0,78,41,DE,right,0,0,0,0,0,0,0,0,0,0,0,0
28,59,86,50,ITA,right,0,0,0,0,1,0,0,1,1,0,0,0
30,17,93,60,ITA,left,0,0,0,0,0,0,0,1,1,0,0,0
33,41,87,30,DE,right,0,0,0,0,0,0,0,1,1,0,0,0
40,53,90,44,ITA,head,0,0,1,0,1,0,0,1,0,0,1,0
45,35,81,51,DE,left,0,0,0,0,0,0,0,0,0,0,0,0
54,7,68,72,DE,right,0,0,0,0,0,0,0,0,0,0,0,0
61,58,93,35,DE,left,0,1,0,0,0,0,0,1,1,0,0,1
62,0,87,36,DE,right,0,0,0,0,0,0,0,0,0,0,0,0
77,33,74,77,ITA,right,0,0,0,0,0,0,0,0,0,0,0,1
81,54,82,52,DE,right,0,0,0,0,0,1,0,0,0,0,0,0
90,37,96,37,ITA,left,0,1,0,0,0,0,0,0,0,1,0,1
91,54,85,31,ITA,right,0,0,0,1,0,0,0,0,0,0,0,1
93,27,89,64,ITA,head,0,0,1,1,0,0,0,1,0,0,1,0
95,38,74,46,DE,left,0,0,0,0,0,0,0,0,0,0,0,0
101,6,75,51,ITA,right,0,0,0,0,0,0,0,0,0,0,0,0
105,55,90,45,DE,head,0,1,1,0,0,0,0,1,1,0,1,0
107,54,80,71,DE,right,0,0,0,0,0,0,0,0,0,0,0,0
110,45,93,32,ITA,right,0,0,0,0,0,0,0,0,0,0,0,0
111,6,88,69,DE,left,0,0,0,0,0,0,0,1,0,1,0,1
113,3,81,40,ITA,right,0,0,0,0,0,0,0,1,1,0,0,0
115,51,73,43,DE,right,0,0,0,0,0,0,0,0,0,0,0,0
117,44,76,44,ITA,left,0,0,0,0,0,0,0,0,0,0,0,1
118,19,89,32,ITA,left,1,0,0,1,0,0,0,1,1,0,0,1
120,12,90,63,ITA,right,1,1,0,0,0,0,0,1,1,1,0,1
