Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,Last_Third,PPA,CrsPA,Prog,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Press,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Height_Ground,Height_Low,Height_High,Body_Parts_Left,Body_Parts_Right,Body_Parts_Head,Body_Parts_TI,Body_Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec_Pct,Miscon,Dispos
Abdelhamid Sabiri,de GER,MF,Paderborn 07,de Bundesliga,22,1996,10.7,29.5,37.9,78,588.3,143.6,1.12,2.34,48,20.9,24.4,85.8,7.48,11.1,67.2,0.09,0.04,0.06,0.65,3.36,0.28,0,3.27,37.9,36.4,1.5,1.31,0,9.63,1.87,0.28,0,0,0,0,24.3,6.26,7.29,4.67,29.4,1.78,0.19,0.09,29.5,0,0.75,0.56,1.21,53.7,2.9,12.1,32.1,12.4,1.5,51.8,2.99,4.95,60.4,3.18,2,38.3,196.4,90.9,42.8,395,86.2,1.78,2.15
Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,28,38.5,48.6,79.3,648.7,140.2,1.21,3.14,38.6,30.5,36.6,83.3,6.79,8.82,76.9,0.07,0.09,-0.02,1.14,3.46,0.79,0.14,3.32,48.6,48.2,0.39,0.29,0.04,10.5,0.75,0.64,0.04,0,0,0,34.5,8.64,5.39,7.71,37.5,2.11,0,0.18,38.5,0.11,0.64,0.86,1.79,60.6,2.18,12.2,33,19.7,3.11,60.3,1.43,2.32,61.5,1.5,2,42,219.1,119.5,47.1,1124,85.3,1.21,1.32
Abdoulaye Touré,fr FRA,MF,Nantes,fr Ligue 1,25,1994,24.7,46,54.2,84.8,856.8,169.7,0.93,1.82,51.1,35.1,40.2,87.5,9.88,12.2,80.8,0,0.03,-0.03,0.69,4.7,0.36,0.08,4.05,54.2,53.7,0.53,0.45,0.08,11.4,1.62,0.32,0,0,0,0,41.1,6.92,6.15,10.9,39.1,2.96,0.08,0.24,46,0.12,1.01,1.34,0.89,65.7,1.7,13.2,44,12.2,0.97,65.2,1.54,1.98,77.6,1.62,1,45.9,218.1,103.6,50.5,1173,94,1.05,1.58
Adam Bodzek,de GER,MF,Düsseldorf,de Bundesliga,33,1985,21.7,25.9,31.3,82.5,555.6,132.9,0.37,0.88,42.1,17.7,20.8,85.4,7.74,9.68,80,0,0.01,-0.01,0.28,2.44,0.18,0,2.49,31.3,30.4,0.92,0.83,0,6.91,1.8,0.09,0,0,0,0,18.8,6.22,6.31,1.89,25.3,2.72,0.09,0.41,25.9,0.05,0.65,0.41,0.46,39.8,3.36,14.2,22,4.65,0.6,38.9,0.18,0.28,66.7,0.18,0,21.6,80.8,37.3,23.5,462,90.6,0.41,0.55
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,24,1995,13.1,49.2,54.6,90.2,780.2,136.4,1.37,3.05,45,40.5,42.9,94.5,7.33,8.63,85,0,0.03,-0.03,0.61,3.66,0.46,0.15,2.21,54.6,53.7,0.84,0.15,0.08,11.2,0.92,1.07,0,0,0,0,42,8.4,4.2,42,9.01,1.98,0.69,0.15,49.2,0.08,0.84,0.61,1.37,66.4,2.14,11.4,37.6,23.5,2.06,65.6,1.76,2.29,76.7,1.76,1,49.6,310.6,155.6,55.5,648,89.1,1.37,1.3
Adrien Silva,pt POR,MF,Monaco,fr Ligue 1,30,1989,13.6,52.9,61.4,86.1,988.8,285.8,0.96,1.54,61.9,40.4,44.9,89.9,11.5,14.9,77.3,0.15,0.1,0.04,1.1,5,0.59,0,6.18,61.4,57.1,4.34,3.24,0.07,9.12,2.5,1.47,0.96,0.29,0.51,0,42.4,9.63,9.41,10.7,46.6,2.21,0.15,0.88,52.9,0,0.66,0.66,0.74,72.7,2.35,14.4,48.1,14.2,0.37,68.5,1.25,2.28,54.8,1.32,0,47.9,208.8,111.9,51.8,668,94.8,1.03,1.25
Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,25,1993,23,32,41.3,77.5,536.7,137.6,1,2.65,37.7,25.5,30.4,83.7,5.52,8.22,67.2,0.04,0.18,-0.14,1.74,3,1.3,0.35,4.43,41.3,39,2.35,0.74,0.09,11.3,0.7,2.57,0.17,0.04,0.04,0.04,27.2,8.78,5.35,6.04,32.4,1.35,0.57,0.57,32,0.17,0.43,1.13,1.65,53.7,0.35,5.35,26.3,25.6,4.48,51.6,1.22,2.17,56,1.35,3,36.7,208.5,104,52,900,75.3,2.48,1.74
Alaixys Romao,tg TOG,MF,Reims,fr Ligue 1,35,1984,19.8,41.3,49.4,83.6,852.9,187.7,0.61,1.46,41.4,29.4,33.6,87.5,11.3,14.3,78.5,0,0.05,-0.05,0.66,3.74,0.66,0.05,4.49,49.4,46.9,2.58,2.37,0.1,10.8,1.26,0.25,0,0,0,0,32.4,9.29,7.73,6.62,39.9,1.52,0.2,0.35,41.3,0,0.81,1.16,0.76,60.8,3.18,19.4,38.8,7.22,0.76,59.2,0.91,1.11,81.8,0.91,0,39.6,229.9,107.5,41.2,773,94.7,0.56,0.66
Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,18.4,39.4,45.2,87.1,683.8,203,1.25,2.01,62.2,31,34.9,88.6,7.17,8.26,86.8,0.05,0.05,0.01,1.03,4.18,0.87,0.05,4.78,45.2,42.2,2.99,2.61,0.05,7.45,0.87,0.49,0,0,0,0,31.7,8.42,5.05,4.35,37.2,1.96,0.38,0.49,39.4,0.05,0.33,0.22,0.87,56.1,2.94,14.2,35.8,10.3,1.29,53.8,1.24,1.55,80,1.24,2,36.1,239.4,137.7,36.2,641,91.3,0.52,1.29
Aleix Febas,es ESP,MF,Mallorca,es La Liga,23,1996,16.3,29.2,35,83.5,441.9,105.7,1.41,2.45,57.5,24.4,28,87.3,3.37,4.54,74.3,0.18,0.09,0.1,1.17,1.9,0.55,0,2.82,35,34.2,0.74,0.61,0.12,9.51,0.74,0.12,0,0,0,0,26.9,5.34,2.76,5.21,28.8,0.74,0,0.12,29.2,0.12,0.61,1.17,0.67,46.5,0.53,7.59,26,15.9,2.35,45.8,1.35,2.35,57.5,1.35,2,37,200.9,104.4,42.7,587,80.9,1.71,2.41
