minute,second,location_x,location_y,team,player,foot,is_goal,big_chance,header,from_corner,from_fk,direct_fk,penalty,assisted,intentional_assist,fast_break,from_cross,youtube_time_stamp_min,youtube_time_stamp_sec
0,43,71,49,EN,4,right,0,0,0,0,0,0,0,1,1,0,0,8,17
2,60,85,52,DE,1,left,0,0,0,0,0,0,0,1,0,0,0,9,29
5,39,78,63,DE,11,right,0,0,0,0,0,0,0,0,0,0,0,12,3
7,38,77,39,EN,4,right,0,0,0,0,0,0,0,0,0,0,0,13,57
7,51,73,46,DE,9,right,0,0,0,0,0,0,0,0,0,1,0,14,10
9,43,77,75,EN,NA,left,0,0,0,0,0,0,0,1,0,0,0,15,54
10,52,74,43,EN,16,right,0,0,0,0,0,0,0,1,0,0,0,17,0
11,30,87,37,DE,8,right,1,0,0,0,0,0,0,0,0,0,0,17,37
12,1,73,43,EN,NA,right,0,0,0,0,0,0,0,1,0,0,0,19,23
17,30,93,53,EN,10,header,1,1,1,0,1,0,0,1,1,0,0,23,49
24,2,94,39,DE,9,header,0,0,1,0,1,0,0,1,1,0,0,27,56
24,34,76,46,EN,2,left,0,0,0,0,0,0,0,0,0,0,0,28,28
26,9,92,42,DE,9,header,0,0,1,0,0,0,0,1,1,0,1,30,5
27,56,79,48,EN,9,left,0,0,0,0,0,0,0,0,0,0,0,30,53
31,53,76,69,EN,6,left,0,0,0,0,0,0,0,0,0,0,0,34,53
35,27,89,46,EN,10,header,0,0,1,0,0,0,0,1,1,0,1,38,31
39,41,82,53,DE,,left,0,0,0,1,0,0,0,0,0,0,0,41,48
39,45,96,62,DE,,left,0,1,0,1,0,0,0,0,0,0,0,41,52
42,48,93,63,EN,,left,0,1,0,0,0,0,0,0,0,0,0,43,58
43,41,76,41,DE,9,right,0,0,0,0,0,0,0,0,0,0,0,44,52
45,0,70,26,DE,,right,0,0,0,0,0,0,0,0,0,0,0,46,13
60,42,88,53,EN,,header,0,0,1,0,0,0,0,1,1,0,1,53,7
62,49,78,50,DE,4,left,0,0,0,1,0,0,0,0,0,0,0,54,18
64,41,63,63,DE,4,right,0,0,0,0,0,1,0,0,0,0,0,56,11
65,41,81,47,EN,,right,0,0,0,0,0,0,0,1,1,0,0,57,11
67,16,83,64,DE,10,right,0,0,0,0,0,0,0,0,0,0,0,58,47
67,38,77,47,DE,4,right,0,0,0,1,0,0,0,1,1,0,0,59,9
68,14,92,45,EN,8,header,0,0,1,0,1,0,0,1,1,0,0,59,48
75,32,77,46,DE,4,right,0,0,0,1,0,0,0,0,0,0,0,65,8
77,12,94,28,EN,7,right,0,0,0,0,0,0,0,0,0,0,0,66,49
77,30,92,46,EN,16,right,1,0,0,0,0,0,0,0,0,0,0,67,7
79,10,83,73,EN,9,left,0,0,0,0,0,0,0,0,0,0,0,70,3
81,15,87,79,DE,,right,0,0,0,0,0,0,0,0,0,0,0,71,7
81,31,78,56,EN,10,left,0,0,0,0,0,0,0,0,0,0,0,71,24
82,52,81,59,EN,16,left,0,0,0,0,0,0,0,0,0,0,0,72,44
83,36,91,53,DE,,header,0,0,1,0,1,0,0,1,1,0,1,74,28
86,57,77,55,EN,10,left,0,0,0,0,0,0,0,0,0,0,0,76,48
88,28,76,55,DE,,right,0,0,0,0,0,0,0,0,0,0,0,78,19
89,30,97,46,DE,6,right,1,0,0,0,1,0,0,0,0,0,0,79,21
91,15,80,45,EN,7,right,0,0,0,0,0,0,0,0,0,0,0,82,12
93,4,81,53,EN,,left,0,0,0,0,0,0,0,1,1,0,0,84,3
93,40,77,71,EN,,right,0,0,0,0,0,0,0,0,0,0,0,84,39
96,24,73,52,DE,4,right,0,0,0,0,0,0,0,0,0,0,0,87,15
96,46,78,60,EN,,left,0,0,0,0,0,0,0,0,0,0,0,87,37
100,14,93,40,EN,10,right,1,0,0,0,0,0,0,1,1,0,1,91,5
104,23,88,81,DE,11,left,0,0,0,0,0,0,0,0,0,0,0,95,14
106,33,76,44,DE,,right,0,0,0,0,0,0,0,0,0,0,0,98,12
107,27,80,24,EN,,left,0,0,0,0,0,0,0,0,0,0,0,99,6
110,10,73,58,DE,,right,0,0,0,0,0,0,0,0,0,0,0,101,49
112,4,77,73,DE,,right,0,0,0,0,0,0,0,0,0,0,0,103,43
114,57,76,61,EN,21,right,0,0,0,0,0,0,0,0,0,0,0,106,36
119,50,87,62,EN,10,left,1,0,0,0,0,0,0,0,0,1,0,111,29
