minute,second,location_x,location_y,team,player,foot,is_goal,big_chance,header,from_corner,from_fk,direct_fk,penalty,assisted,intentional_assist,fast_break,from_cross,on_target,youtube_time_stamp_min,youtube_time_stamp_sec
1,15,88.5,50,NED,,right,1,1,0,0,0,0,1,0,0,0,0,1,13,36
7,57,78,63,DE,3,right,0,0,0,0,0,0,0,0,0,0,0,0,20,17
12,2,87,72,DE,11,right,0,0,0,0,0,0,0,0,0,0,0,0,24,22
19,44,72,43,DE,13,right,0,0,0,0,0,1,0,0,0,0,0,0,32,4
25,22,88.5,50,DE,3,right,1,1,0,0,0,0,1,0,0,0,0,1,37,42
28,43,89,65,DE,2,right,0,1,0,0,0,0,0,0,0,1,0,1,41,3
35,6,81,35,DE,5,right,0,0,0,0,0,1,0,0,0,0,0,1,47,26
36,17,89,64,NED,,left,0,1,0,0,0,0,0,1,1,1,0,0,48,37
37,8,79,55,DE,17,right,0,0,0,0,0,0,0,0,0,0,0,0,49,28
37,54,90,24,DE,,right,0,0,0,0,0,0,0,0,0,0,0,1,50,14
42,35,92,44,DE,13,right,1,1,0,0,0,0,0,1,1,0,0,1,54,55
47,30,92,43,DE,15,header,0,1,1,1,0,0,0,1,1,0,1,0,61,38
52,15,93,60,NED,10,right,0,0,0,1,0,0,0,0,0,0,0,0,66,22
53,47,93,53,NED,,header,0,1,1,0,1,0,0,1,1,0,1,1,67,54
72,34,94,38,NED,,right,0,0,0,0,0,0,0,1,1,0,1,1,86,41
73,8,78,46,NED,,right,0,0,0,0,0,0,0,1,1,0,0,1,87,15
73,50,86,60,NED,,right,0,0,0,0,0,0,0,1,0,0,0,0,88,4
75,24,79,48,NED,,right,0,0,0,0,0,0,0,0,0,0,0,0,89,32
76,30,95,49,NED,,right,0,1,0,0,0,0,0,1,1,0,1,0,90,38
80,21,98,69,NED,,left,0,0,0,0,0,0,0,0,0,0,0,1,94,29
85,28,76,54,NED,,right,0,0,0,0,0,0,0,0,0,0,0,0,99,35
