minute,second,location_x,location_y,team,player,foot,Goal_Mouth_y,Goal_Mouth_z,is_goal,big_chance,header,from_corner,from_fk,direct_fk,penalty,assisted,intentional_assist,fast_break,from_cross,youtube_time_stamp_min,youtube_time_stamp_sec
2,53,92,49,DE,voller,right,52,130,0,1,0,0,1,0,0,1,0,0,1,15,50
6,27,81,48,DE,brehme,left,NA,NA,0,0,0,0,1,0,0,1,1,0,0,19,22
7,53,87,44,DE,voller,head,63,120,0,0,1,0,0,0,0,1,1,0,1,20,48
11,17,76,66,DE,littbarski,right,54,120,0,0,0,0,0,0,0,1,0,0,0,24,12
22,49,88.5,50,DE,voller,head,61,130,0,1,1,0,0,0,0,1,1,0,1,35,44
28,0,73,50,DE,haessler,right,NA,NA,0,0,0,0,1,0,0,1,1,0,0,40,55
36,50,76,55,DE,brehme,left,NA,NA,0,0,0,1,0,0,0,0,0,0,0,49,45
38,19,81,36,ARG,maradonna,left,55,120,0,0,0,0,0,1,0,0,0,0,0,51,24
39,54,79,46,DE,brehme,left,NA,NA,0,0,0,0,1,0,0,1,1,0,0,52,59
45,46,80,53,DE,littbarski,right,56,0,0,0,0,0,0,0,0,0,0,0,0,62,23
48,28,94,40,DE,bertholt,head,53,105,0,1,1,0,1,0,0,1,0,0,1,65,5
49,49,97,42,DE,voeller,right,58,200,0,1,0,0,1,0,0,1,0,0,1,66,26
54,58,87,77,DE,littbarski,right,51,130,0,0,0,0,0,0,0,0,0,0,0,71,35
60,6,75,51,DE,brehme,left,NA,NA,0,0,0,0,1,0,0,1,1,0,0,76,43
61,43,86,49,DE,klinsmann,right,50,140,0,0,0,0,0,0,0,1,1,0,1,78,20
66,37,80,34,DE,brehme,right,39,0,0,0,0,0,0,0,0,0,0,0,0,83,14
84,53,88.5,50,DE,brehme,right,46,0,1,1,0,0,0,0,1,0,0,0,0,101,30
90,24,78,58,DE,klinsmann,left,51,140,0,0,0,0,0,0,0,1,1,0,0,107,1
