minute,second,location_x,location_y,team,foot,is_goal,big_chance,header,from_corner,from_fk,direct_fk,penalty,assisted,intentional_assist,fast_break,from_cross,on_target,youtube_time_stamp_min,youtube_time_stamp_sec
4,8,76,80,DE,right,0,0,0,0,0,1,0,0,0,0,0,0,15,59
12,36,93,38,CZK,right,0,0,0,0,0,0,0,1,1,0,1,0,24,27
19,26,63,52,CZK,left,0,0,0,0,0,1,0,0,0,0,0,0,31,17
27,13,89,53,DE,head,0,0,1,1,0,0,0,1,0,0,1,0,39,4
34,0,92,44,DE,right,0,0,0,0,0,0,0,1,0,0,0,1,45,51
39,17,79,50,DE,right,0,0,0,0,0,0,0,0,0,0,0,0,51,8
40,32,95,65,DE,left,0,1,0,0,0,0,0,1,1,0,0,1,52,23
42,27,90,68,CZK,right,0,1,0,0,0,0,0,0,0,1,0,1,54,18
43,0,90,55,CZK,head,0,0,1,1,0,0,0,1,0,0,1,0,54,51
47,25,93,48,DE,head,0,1,1,0,1,0,0,1,0,0,1,0,62,3
49,16,91,46,CZK,head,0,0,1,1,0,0,0,1,0,0,1,0,63,54
49,50,82,48,DE,left,0,0,0,0,0,0,0,1,1,1,0,0,64,28
51,47,99,57,CZK,left,0,0,0,0,1,0,0,1,0,0,1,0,66,25
53,29,82,57,CZK,left,0,0,0,0,0,0,0,1,1,0,0,1,68,7
58,34,88.5,50,CZK,left,1,1,0,0,0,0,1,0,0,0,0,1,73,12
63,35,73,26,CZK,left,0,0,0,0,0,1,0,0,0,0,0,0,78,13
66,23,72,45,CZK,right,0,0,0,0,0,1,0,0,0,0,0,0,81,1
70,14,80,32,DE,right,0,0,0,0,0,0,0,1,1,0,0,0,84,52
72,29,96,56,DE,head,1,1,1,0,1,0,0,1,0,0,1,1,87,7
82,29,81,50,DE,right,0,0,0,0,0,0,0,1,1,0,0,1,97,7
83,41,92,44,DE,right,0,0,0,0,0,0,0,1,1,0,0,0,98,19
84,48,87,45,DE,head,0,0,1,0,0,0,0,1,1,0,1,0,99,26
88,18,77,28,CZK,right,0,0,0,0,0,0,0,0,0,0,0,1,102,56
91,39,80,41,DE,right,0,0,0,1,0,0,0,0,0,0,0,0,112,54
92,51,87,72,CZK,left,0,0,0,0,0,0,0,0,0,0,0,0,114,6
94,16,85,56,DE,left,1,0,0,0,0,0,0,0,0,0,0,1,115,31
